date,quote_time_jst,captured_at_jst,symbol,price_yen,quantity,market_value_yen,quote_status,source
2026-07-22,15:30:00,2026-07-22 16:00:00,8411.T,8529,10,85290,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8591.T,6582,13,85566,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8630.T,6906,12,82872,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8750.T,1897,10,18970,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8766.T,7971,12,95652,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8795.T,5068,14,70952,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,9432.T,152,500,76000,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,9433.T,2875.5,23,66136.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,9697.T,3362,7,23534,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,9983.T,78580,2,157160,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:06,2026-07-23 09:00:00,1801.T,13670,3,41010,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:17,2026-07-23 09:00:00,1812.T,5617,14,78638,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:18,2026-07-23 09:00:00,5333.T,6359,5,31795,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:19,2026-07-23 09:00:00,5803.T,4698,8,37584,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:17,2026-07-23 09:00:00,6146.T,70860,1,70860,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:14,2026-07-23 09:00:00,6383.T,6375,6,38250,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:18,2026-07-23 09:00:00,6501.T,4838,15,72570,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:18,2026-07-23 09:00:00,6503.T,5725,14,80150,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:18,2026-07-23 09:00:00,6504.T,13035,6,78210,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:18,2026-07-23 09:00:00,6762.T,3140,23,72220,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-23,09:15:16,2026-07-23 09:00:00,6861.T,72570,2,145140,OK,Yahoo Finance JP full-market screener (delayed)
