updated_at,benchmark,benchmark_ticker,trigger_pct,event_date,benchmark_daily_return_pct,ticker,company,structural_rating,stock_return_1d_pct,benchmark_return_1d_pct,excess_1d_pct,stock_return_5d_pct,benchmark_return_5d_pct,excess_5d_pct,stock_return_20d_pct,benchmark_return_20d_pct,excess_20d_pct
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,8035.T,東京エレクトロン,S,-3.55,-0.93,-2.62,-1.06,-0.99,-0.06,11.83,2.65,9.18
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,7735.T,SCREEN HD,A,-2.72,-0.93,-1.80,4.19,-0.99,5.18,13.55,2.65,10.91
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,6146.T,ディスコ,A-,-2.29,-0.93,-1.36,-2.33,-0.99,-1.34,-5.57,2.65,-8.22
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,6920.T,レーザーテック,A,3.30,-0.93,4.23,-3.47,-0.99,-2.47,14.39,2.65,11.74
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,6857.T,アドバンテスト,B,-3.47,-0.93,-2.54,-2.12,-0.99,-1.13,2.14,2.65,-0.51
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-12,-1.78,6762.T,TDK,B,-0.85,-0.93,0.07,-2.07,-0.99,-1.08,7.35,2.65,4.70
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,8035.T,東京エレクトロン,S,2.17,1.38,0.79,2.36,-3.23,5.59,16.62,12.73,3.88
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,7735.T,SCREEN HD,A,1.94,1.38,0.56,-2.33,-3.23,0.91,13.27,12.73,0.54
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,6146.T,ディスコ,A-,0.14,1.38,-1.24,-1.05,-3.23,2.18,12.35,12.73,-0.38
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,6920.T,レーザーテック,A,-0.50,1.38,-1.88,10.21,-3.23,13.44,31.50,12.73,18.77
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,6857.T,アドバンテスト,B,-1.69,1.38,-3.08,-7.82,-3.23,-4.59,19.39,12.73,6.65
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-20,-2.01,6762.T,TDK,B,-0.24,1.38,-1.63,-1.14,-3.23,2.09,25.65,12.73,12.91
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,8035.T,東京エレクトロン,S,-3.06,-2.15,-0.91,-5.32,2.20,-7.52,13.26,16.02,-2.75
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,7735.T,SCREEN HD,A,-2.43,-2.15,-0.28,-6.85,2.20,-9.05,6.65,16.02,-9.36
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,6146.T,ディスコ,A-,-1.42,-2.15,0.72,-5.27,2.20,-7.47,7.29,16.02,-8.73
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,6920.T,レーザーテック,A,1.16,-2.15,3.30,1.30,2.20,-0.90,25.54,16.02,9.53
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,6857.T,アドバンテスト,B,-3.90,-2.15,-1.75,-7.89,2.20,-10.09,21.65,16.02,5.64
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-26,-2.38,6762.T,TDK,B,0.67,-2.15,2.82,-6.31,2.20,-8.52,28.19,16.02,12.17
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,8035.T,東京エレクトロン,S,-0.22,-0.73,0.51,-1.30,5.00,-6.30,17.79,18.80,-1.01
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,7735.T,SCREEN HD,A,-3.55,-0.73,-2.82,-2.78,5.00,-7.78,12.22,18.80,-6.59
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,6146.T,ディスコ,A-,-2.88,-0.73,-2.14,-0.76,5.00,-5.76,8.38,18.80,-10.42
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,6920.T,レーザーテック,A,0.94,-0.73,1.68,2.55,5.00,-2.46,28.85,18.80,10.05
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,6857.T,アドバンテスト,B,-5.06,-0.73,-4.33,-2.20,5.00,-7.20,33.58,18.80,14.77
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-27,-2.15,6762.T,TDK,B,-4.33,-0.73,-3.60,-3.78,5.00,-8.78,28.65,18.80,9.85
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,8035.T,東京エレクトロン,S,-2.05,-0.51,-1.54,-0.91,0.45,-1.37,,,
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,7735.T,SCREEN HD,A,-3.97,-0.51,-3.46,-5.03,0.45,-5.48,,,
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,6146.T,ディスコ,A-,-2.16,-0.51,-1.64,1.48,0.45,1.03,,,
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,6920.T,レーザーテック,A,-0.57,-0.51,-0.06,-0.73,0.45,-1.18,,,
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,6857.T,アドバンテスト,B,-0.80,-0.51,-0.28,1.84,0.45,1.39,,,
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-05-15,-1.54,6762.T,TDK,B,-0.52,-0.51,-0.01,12.60,0.45,12.14,,,
2026/05/26 13:08,日経平均,^N225,-1.5,2025-08-20,-1.51,8035.T,東京エレクトロン,S,-2.41,-0.65,-1.76,-2.82,-0.86,-1.96,21.65,5.63,16.02
2026/05/26 13:08,日経平均,^N225,-1.5,2025-08-20,-1.51,7735.T,SCREEN HD,A,-0.18,-0.65,0.47,0.71,-0.86,1.57,18.45,5.63,12.82
2026/05/26 13:08,日経平均,^N225,-1.5,2025-08-20,-1.51,6146.T,ディスコ,A-,-1.76,-0.65,-1.11,4.22,-0.86,5.08,21.15,5.63,15.51
2026/05/26 13:08,日経平均,^N225,-1.5,2025-08-20,-1.51,6920.T,レーザーテック,A,-3.07,-0.65,-2.42,-1.89,-0.86,-1.03,5.60,5.63,-0.03
2026/05/26 13:08,日経平均,^N225,-1.5,2025-08-20,-1.51,6857.T,アドバンテスト,B,1.67,-0.65,2.32,5.85,-0.86,6.71,34.97,5.63,29.34
